SIDO_NM,VISIT_AREA_NM,VISIT_AREA_TYPE_CD
NaN,김포한강야생조류생태공원,1
NaN,송내로데오거리,4
시흥시,배곧생명공원,1
인천광역시,신포국제시장,4
NaN,홍대 ak위드뮤m,4
NaN,스타필드시티위례,11
NaN,웻커피 한남,11
NaN,북한산 대남문분기점,1
서울특별시,바이올린모텔,24
서울특별시,스파오 타임스퀘어점,4
파주시,벽초지수목원,1
서울특별시,국립중앙박물관,2
수원시,파리바게뜨 광교중흥점,11
서울특별시,보광사,2
NaN,퍼센트아라비카 1호점,11
서울특별시,롯데월드 어드벤처,6
서울특별시,스쿠퍼젤라또,11
서울특별시,스탠포드호텔 서울,24
서울특별시,동대문종합시장,4
NaN,신덕고개,7
서울특별시,펀타임 대학로,3
김포시,몬스터리움,6
용인시,교복몰 용인점,10
안산시,안산버스터미널,9
서울특별시,롯데백화점 본점,4
NaN,수리산산림욕장 입구,1
파주시,아이스타일,3
NaN,"상가 거리, 판교테크노파크공원",4
NaN,수원화성미디어아트쇼,8
NaN,수원천,7
서울특별시,서울앵무새,11
NaN,팔달문시장,4
포천시,빵명장 본사직영점,11
의왕시,청초수물회섭국 백운호수점,11
NaN,수원통닭거리,4
고양시,킨텍스 제2전시장,3
NaN,용봉산,2
광명시,구름산추어탕,11
NaN,롯데리아 안성죽산점,11
논산시,강경해물칼국수,11
서울특별시,스타벅스 송파KT점,11
NaN,비둘기낭폭포,1
고양시,딤섬점방,11
수원시,요미우돈교자,11
고양시,유일설렁탕 일산점,11
서울특별시,파이롯트 오피스 팝업스토어,3
군포시,굴다리숯불구이본가,11
시흥시,진주마을풍림아이원1차아파트,22
성남시,풍천가,11
의정부시,가능솔밭숯불갈비,11
서울특별시,삼청동수제비,11
오산시,물향기수목원,1
용인시,에버랜드 차이나문,11
서울특별시,마녀김밥 청담노들섬점,11
NaN,남산,7
서울특별시,남산골산채집,11
서울특별시,수서역,9
서울특별시,신동궁 감자탕뼈숯불구이,11
서울특별시,제일제면소 올림픽공원점,11
서울특별시,이비스앰배서더 서울명동,24
서울특별시,운현궁,2
인천광역시,더스테이송도,24
화성시,타임테라스 A블럭,4
서울특별시,스테이지28 웁시데이지,12
용인시,이마트트레이더스 구성점,4
서울특별시,코엑스 아쿠아리움,6
대전광역시,대전역,9
서울특별시,서화커피,11
강릉시,테라로사 사천점,11
서울특별시,갈매울감자탕,11
문경시,문경휴게소 양평방향,9
고양시,일산칼국수 서오릉점,11
과천시,선바위역 4호선,9
서울특별시,코지블루,4
서울특별시,퍼센트아라비카,11
고양시,백석역 3호선,9
서울특별시,국립민속박물관,2
용인시,에버랜드 판다월드,6
파주시,DMZ 장단콩두부마을,7
서울특별시,땡쓰오트 안국,11
NaN,마장호수출렁다리,1
수원시,스포츠아일랜드,5
서울특별시,혜화동버거,11
서울특별시,잠실종합운동장 올림픽주경기장,5
NaN,도봉산공영주차장,9
용인시,두끼떡볶이 AK&기흥점,11
서울특별시,공덕역 5호선,9
여주시,여주한글시장,4
용인시,캐리비안베이,13
광주시,펜타커피랩,11
서울특별시,영등포아늑,24
수원시,다운타우너 갤러리아광교,11
서울특별시,먼치스앤구디스,10
서울특별시,가산디지털단지역 7호선,9
인천광역시,인천 개항장문화재야행,8
서울특별시,신라아이파크면세점,4
NaN,석촌호수 서호,1
NaN,일산문화광장,8
NaN,용암천,1
인천광역시,소래포구,9
서울특별시,청진옥,11
남양주시,카펜트리,11
남양주시,현대프리미엄아울렛 스페이스원,4
강릉시,강릉역,9
시흥시,신천역 서해선,9
서울특별시,만원수산,11
가평군,사랑채,11
서울특별시,문래대동오피스텔,22
NaN,비봉,1
평택시,평택소풍정원 캠핑장,24
수원시,맥도날드 수원화성DT점,11
NaN,청일조계지경계계단,2
서울특별시,삼대냉면,11
포천시,국립수목원 열대식물자원연구센터,1
NaN,산정마을,7
서울특별시,포탈,24
하남시,미사강변센트리버아파트,22
서울특별시,고척월드메르디앙아파트,21
NaN,수원화성 화홍문,2
시흥시,월곶역 수인분당선,9
춘천시,춘천시외버스터미널,9
서울특별시,육회자매집 본점1호점,11
부산광역시,김해국제공항,9
가평군,가평잣고을시장,4
하남시,퍼스널테라피연구소,13
수원시,수원화성박물관,2
과천시,카페디,11
NaN,동탄호수공원,1
서울특별시,런던베이글뮤지엄 안국점,11
가평군,두메막국수,11
성남시,코트야드 바이메리어트 서울 판교,24
서울특별시,제시,4
서울특별시,삼거리식당,11
수원시,스테이25호텔,24
광주시,경성빵공장,11
시흥시,랑데자뷰 시흥거북섬점,11
춘천시,스윙카페,11
NaN,전곡항,1
남양주시,고향산천,11
서울특별시,핀즈,11
성남시,퍼틴 판교점,11
파주시,홈플러스 파주문산점,4
서울특별시,뚝섬유원지역 7호선,9
서울특별시,교다이야,11
NaN,경기도 수원시 영통구 원천동 352-20번지,21
하남시,투썸플레이스 미사호수공원점,11
포천시,예루살렘셀프주유소,10
양평군,용문사,1
서울특별시,무릉,11
고양시,코스트코 일산점,4
인천광역시,월미문화관,3
광주시,먹어봐뒷고기 경안점,11
수원시,옛날돈까스 2호점,11
서울특별시,뉴서울호텔,24
서울특별시,폴바셋 롯데잠실점,11
서울특별시,야끼니꾸 소량,11
서울특별시,모모야 동대문DDP점,12
서울특별시,스타벅스 발산역,11
인천광역시,하남돼지집 송도센트럴파크점,11
남양주시,고양이카페38.5,13
서울특별시,청와옥 을지로3가 직영점,11
화성시,해품가 바다를품은횟집,11
NaN,부락산,1
서울특별시,칼튼호텔,24
서울특별시,우육면관 광화문점,11
서울특별시,용두삼겹살쭈꾸미,11
서울특별시,서울 선릉과 정릉,2
NaN,친정 (외할머니집),22
NaN,솔잎향캠핑파크,24
수원시,호텔도노,24
서울특별시,복향원판점,11
고양시,소노캄고양 웨스트타워,24
부천시,상동호수공원,1
NaN,나혜석거리,4
가평군,가평휴게소 서울방향,9
파주시,DMZ생생누리,3
서울특별시,3노트커피,11
서울특별시,커먼그라운드,4
서울특별시,한성백제박물관,2
시흥시,웨이브파크,5
서울특별시,은평한옥마을,7
파주시,커피공장103 헤이리점,11
고양시,스타벅스 일산가로수길R점,11
충주시,갱고개,11
서울특별시,춘천식당,11
서울특별시,태극당,11
NaN,할머니댁,22
용인시,호텔썬스테이,24
서울특별시,JW메리어트호텔서울 플레이버즈,11
여주시,대한불교조계종 신륵사,2
서울특별시,호텔 베르누이 서울,24
서울특별시,현대백화점면세점 동대문점,4
서울특별시,코오롱하늘채아파트,22
NaN,소피아그린cc 그늘집,11
서울특별시,지수화풍,10
서울특별시,피더블유에이,11
수원시,무명사진관,10
양평군,장터집,11
인천광역시,롯데몰송도캐슬파크오피스텔,12
서울특별시,남대문시장,4
인천광역시,센트럴파크 한의원,12
용인시,로뎀식당,11
서울특별시,강변역 2호선,9
가평군,로제펜션,24
NaN,서울대공원 캠핑장,24
안양시,사이숲,11
가평군,무지개서는마을,7
서울특별시,소피텔 앰배서더 서울,11
서울특별시,디오디아2.0,11
NaN,기산저수지,7
서울특별시,"스타벅스 아차산역, 몽촌토성8호선,아차산역5호선",11
서울특별시,잠실종합운동장,5
가평군,포세이돈,24
NaN,연인산도립공원,12
NaN,청계광장,7
파주시,서축공업기념관,3
서울특별시,베드라핀,11
서울특별시,더블라썸,24
서울특별시,다이소 공릉점,4
부천시,미리내마을  버스정류장,9
NaN,북한강,1
가평군,청평돌짜장,11
화성시,화성시우리꽃식물원,6
서울특별시,파스쿠찌 까치산역점,11
NaN,남한산성 행궁,2
인천광역시,관동오리진,11
수원시,리멤버 수원직영점,4
NaN,광교호수공원,1
NaN,연천율무축제,8
서울특별시,신사역 3호선,9
서울특별시,스타벅스 안국점,11
인천광역시,소장군 부평점,11
서울특별시,현대백화점 신촌점,4
가평군,고요재,11
화성시,궁평항,8
서울특별시,삼정호텔,24
NaN,최웅집,12
서울특별시,윈야드 성수,11
서울특별시,전통주갤러리,2
NaN,벌말근린공원,1
서울특별시,서울남부터미널,9
이천시,롯데프리미엄아울렛 이천점,4
서울특별시,고디바 코엑스몰,11
NaN,강천섬유원지,1
수원시,이비스앰배서더 수원점,24
서울특별시,마일스톤 커피 한남,11
서울특별시,모카,11
서울특별시,종묘,2
서울특별시,장수갈매기 본점,11
NaN,양주나리농원,1
서울특별시,대장장이화덕피자,11
수원시,부찌식당 부대찌개 본점,11
파주시,지혜의숲,3
NaN,태양,22
서울특별시,스파오 롯데마트청량리점,10
용인시,하이드,12
화성시,홈플러스 병점점,4
안양시,범계역광장,3
서울특별시,카페엘리에나,11
이천시,CU 남이천IC점,10
NaN,천호대로,22
이천시,캠핑고래 이천점,10
서울특별시,스타벅스 더종로R점,11
NaN,펜션,24
서울특별시,포트링공방,13
인천광역시,마이랜드,6
서울특별시,레스케이프호텔,24
부천시,벌말주유소,10
서울특별시,국립고궁박물관,2
포천시,산토리니,24
서울특별시,소문난성수감자탕 별관,11
서울특별시,창경궁,2
포천시,포천아트밸리,1
수원시,수원화성 팔달문,2
서울특별시,타운 앤 컨트리 햄버거스,11
여주시,주주팜,13
인천광역시,하노이별,11
NaN,경의선숲길,1
